"  Demand = c(126, 160, 172, 196, 197, 197, 197, 197, ",,,,,,,,
"             431, 538, 576, 650, 651, 651, 652, 652, ",,,,,,,,
,2023,2024,2025,2026,2027,2028,2029,2030
SupplyMin,424,424,424,424,424,424,424,424
Supply,504,504,504,504,504,504,504,504
SupplyMax,558,558,558,558,558,558,558,558
LowDemandMin,126,126,126,126,126,126,126,126
MidDemandMin,431,431,431,431,431,431,431,431
HighDemandMin,1172,1172,1172,1172,1172,1172,1172,1172
LowDemandMax,126,168,192,220,224,224,224,239
MidDemandMax,431,531,636,723,735,735,736,782
HighDemandMax,1172,1430,1569,1729,1750,1750,1751,1829
LowDemand,126,160,172,196,197,197,197,197
MidDemand,431,538,576,650,651,651,652,652
HighDemand,1172,1391,1468,1605,1607,1607,1609,1609
